time_ms,emfA_V,emfB_V,emfC_V
1,0.000,0.000,0.000
3,0.000,0.000,0.000
5,0.000,0.000,0.000
7,0.000,0.000,0.000
9,0.000,0.000,0.000
10,0.000,0.000,0.000
12,0.000,0.000,0.000
14,0.000,0.000,0.000
16,0.000,0.000,0.000
18,0.000,0.000,0.000
20,0.000,0.000,0.000
23,0.000,0.000,0.000
25,0.000,0.000,0.000
27,0.000,0.000,0.000
29,0.000,0.000,0.000
31,0.000,0.000,0.000
33,0.000,0.000,0.000
35,0.000,0.000,0.000
37,0.000,0.000,0.000
39,0.000,0.000,0.000
41,0.000,0.000,0.000
43,0.000,0.000,0.000
45,0.000,0.000,0.000
47,0.000,0.000,0.000
49,0.000,0.000,0.000
51,0.000,0.000,0.000
52,0.000,0.000,0.000
54,0.000,0.000,0.000
56,0.000,0.000,0.000
58,0.000,0.000,0.000
60,0.000,0.000,0.000
62,0.000,0.000,0.000
65,0.000,0.000,0.000
67,0.000,0.000,0.000
69,0.000,0.000,0.000
71,0.000,0.000,0.000
73,0.000,0.000,0.000
75,0.000,0.000,0.000
77,0.000,0.000,0.000
79,0.000,0.000,0.000
81,0.000,0.000,0.000
83,0.000,0.000,0.000
85,0.000,0.000,0.000
87,0.000,0.000,0.000
89,0.000,0.000,0.000
91,0.000,0.000,0.000
93,0.000,0.000,0.000
94,0.000,0.000,0.000
96,0.000,0.000,0.000
98,0.000,0.000,0.000
100,0.000,0.000,0.000
102,0.000,0.000,0.000
104,0.000,0.000,0.000
106,0.000,0.000,0.000
109,0.000,0.000,0.000
111,0.000,0.000,0.000
113,0.000,0.000,0.000
115,0.000,0.000,0.000
117,0.000,0.000,0.000
119,0.000,0.000,0.000
121,0.000,0.000,0.000
123,0.000,0.000,0.000
125,0.000,0.000,0.000
127,0.000,0.000,0.000
129,0.000,0.000,0.000
131,0.000,0.000,0.000
133,0.000,0.000,0.000
135,0.000,0.000,0.000
136,0.000,0.000,0.000
138,0.000,0.000,0.000
