Spalte3,A,A2,B,B2,C,C2,Insgesamt,Spalte1,Spalte2,Spalte22,Spalte23,Spalte24,Spalte25,Spalte26,SIN -120,SIN,SIN  +120,FA,Unnamed: 19,FB,Unnamed: 21,FC,Unnamed: 23,FX,FY
Position_mm,Fx_N,Fy_N,Fx_N,Fy_N,Fx_N,Fy_N,Umfang [mm],FxA ,FyA,FxB,FyB,FxC ,FyC,FOR SIN,SINA,COSB,TANC,X,Y,X,Y,X,Y,,
0,0.3374540090491929,3.447773851317199,-0.1719980174094696,3.50589443630797,-0.4724159423151731,3.059380575822408,81.68140899333463,,281619026065963904,,28636639733952764,,249894516080013056,0,-0.5000000000000001,1,-0.5000000000000004,,281619026065963904,,-14318319866976386,,-124947258040006640,,1.4235344815898088e+17
2,0.2058334903958123,3.491444274245128,-0.2838662979291718,3.323606144369732,-0.3866870386096929,2.78842481812622,81.68140899333463,,285186087742052032,,271476832811023904,,22776246801653252,0.13333333333333333,-0.8090169943749473,0.913545457642601,-0.1045284632676543,,260530455039615872,,-219629371323204640,,-2380766077181641,,3.852031763922959e+16
4,0.1549803074347621,3.531461648088154,-0.2299774505051503,3.160807112343988,-0.1247902966942021,2.626778323942844,81.68140899333463,,288454763221763712,,258179178492409632,,214558954612801152,0.26666666666666666,-0.9781476007338057,0.6691306063588583,0.3090169943749472,,193013910621679680,,-252537344001775456,,66302363270678520,,6778929890582744.0
6,0.03777339896397963,3.580982112858356,-0.1704130638410738,3.075616033881983,0.1311911603932068,2.630865106327358,81.68140899333463,,292499664558198464,,251220651169971744,,214892768756217056,0.4,-0.9781476007338056,0.3090169943749475,0.6691306063588578,,90387367197454848,,-245730877196692160,,143791328659981328,,-1.1552181339255984e+16
8,-0.05636089106906698,3.568295016388583,-0.05790054130943784,3.021697185649376,0.3870493677843828,2.753287422335725,81.68140899333463,,291463364642513280,,246816483675034400,,224892396020008000,0.5333333333333333,-0.8090169943749476,-0.10452846326765305,0.9135454576426005,,-30466217604901516,,-199678729784969632,,205449426842439168,,-2.469552054743197e+16
10,-0.1906709592448616,3.596101016156827,0.01436619899864641,3.089950494505783,0.5206101853170549,3.038151807699413,81.68140899333463,,293734597882051456,,252391510110883200,,248160520388534432,0.6666666666666666,-0.49999999999999967,-0.4999999999999997,1,,-146867298941025632,,-126195755055441520,,248160520388534432,,-2.4902533607932704e+16
12,-0.3844432200158071,3.475087170965111,-0.002944390163754067,3.104013974449916,0.4834588945745516,3.273394681023583,81.68140899333463,,283850016499091328,,253540234968069248,,267375489737293184,0.8,-0.10452846326765342,-0.8090169943749473,0.9135454576426008,,-229639487201374080,,-26502171137732044,,244259664134470016,,-1.1881994204636096e+16
14,-0.4656909867252808,3.276514096640332,0.0199048430352811,3.106315544518781,0.4013805988568157,3.477387553323738,81.68140899333463,,267630288000105120,,253728230454191424,,284037914971366816,0.9333333333333333,0.3090169943749472,-0.9781476007338057,0.6691306063588589,,-261781924091000256,,78406335163028176,,190058462273696672,,6682873345724576.0
16,-0.5080619104125294,3.042936779090883,-0.002034007668936185,3.094928923509349,0.2034216626999395,3.601606325595501,81.68140899333463,,248551363593782528,,252798155206467264,,294184279313947136,1.0666666666666667,0.6691306063588585,-0.9781476007338058,0.3090169943749478,,-243119919958374176,,169154982879704256,,90907941785956064,,1.6943004707286144e+16
18,-0.3829476977832877,2.768255832405926,0.06225958108776437,3.036236072459601,0.06096410097375699,3.582802085169511,81.68140899333463,,226115036844931936,,248004040434888576,,292648322460902848,1.2,0.9135454576426009,-0.8090169943749476,-0.10452846326765369,,-182930907491267360,,226562964616304384,,-30590079424694956,,1.3041977700342068e+16
20,-0.1382320899342928,2.64227382903309,0.1639086588821164,3.085727463924716,-0.04386766387686774,3.592309499088321,81.68140899333463,,21582464930163616,,252046567022799456,,293424901425674112,1.3333333333333333,1,-0.5000000000000004,-0.49999999999999917,,-10791232465081818,,252046567022799456,,-146712450712836800,,9.454288384488083e+16
