Unnamed: 0,A,b,C,a,B,c,A.1,b.1,C.1,a.1,B.1,c.1,A.2,b.2,C.2,a.2,B.2,c.2,Unnamed: 19,Unnamed: 20,Unnamed: 21
Coil:,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,,Polpitch [mm]:,15.0
"Induziertes Magnetfeld  Soll, Phase A bestromt:",-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,,,
"Induziertes Magnetfeld  Soll, Phase B bestromt:",-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,,,
"Induziertes Magnetfeld  Soll, Phase C bestromt:",1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,,,
Kirchhoffs Gesetz Phase A [A]:,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,,,
Kirchhoffs Gesetz Phase B [A]:,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,,,
Kirchhoffs Gesetz Phase C [A]:,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,-1.0,-1.0,2.0,,,
Wicklung im Uhrzeigersinn (+) oder gegen Uhrzeigersinn (-):,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,,,
Sim Soll [A] Phase A:,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,,,
Sim Soll [A] Phase B:,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,,,
Sim Soll [A] Phase C:,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,,,
Sim Soll [A] Phase B invertiert:,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,-1.0,-2.0,-1.0,1.0,2.0,1.0,,,
Einzelphasen addiert (A + B invertiert + C):,-2.0,-4.0,-2.0,2.0,4.0,2.0,-2.0,-4.0,-2.0,2.0,4.0,2.0,-2.0,-4.0,-2.0,2.0,4.0,2.0,,,
,,,,,,,,,,,,,,,,,,,,,
3- Phasig und Kirchhoff:,,,,,,,,,,,,,,,,,,,,,
Phasenverschiebung [°] / Verschiebung C [°]:,150.0,90.0,,,,,,,,,,,,,,,,,,,
Phase A:,-2.0,-2.0000000000000004,1.9999999999999996,2.0,2.0000000000000004,-1.9999999999999996,-2.0,-2.0000000000000004,1.9999999999999996,2.0,2.0000000000000004,-1.9999999999999996,-2.0,-2.0000000000000004,1.9999999999999996,2.0,2.0000000000000004,-1.9999999999999996,,,
Phase B:,-2.0,-2.0,-1.9999999999999993,2.0,2.0,1.9999999999999993,-2.0,-2.0,-1.9999999999999993,2.0,2.0,1.9999999999999993,-2.0,-2.0,-1.9999999999999993,2.0,2.0,1.9999999999999993,,,
Phase C: (Mit Phasenverschiebung),2.000000000000001,-1.9999999999999996,-2.0,-2.000000000000001,1.9999999999999996,2.0,2.000000000000001,-1.9999999999999996,-2.0,-2.000000000000001,1.9999999999999996,2.0,2.000000000000001,-1.9999999999999996,-2.0,-2.000000000000001,1.9999999999999996,2.0,,,
Einzelphasen addiert (A + B invertiert + C):,-1.9999999999999991,-6.0,-1.9999999999999996,1.9999999999999991,6.0,1.9999999999999996,-1.9999999999999991,-6.0,-1.9999999999999996,1.9999999999999991,6.0,1.9999999999999996,-1.9999999999999991,-6.0,-1.9999999999999996,1.9999999999999991,6.0,1.9999999999999996,,,
