Position_mm	Fx_N	Fy_N
0	0	0
07300028529912	-3.224861956857644
1	-0.3588891381371976	-3.21832190855819
2	-0.3239167296086228	-3.198884607085239
3	-0.2752515372017404	-3.137147412607038
4	-0.1842131157589287	-3.066896815559346
5	-0.04503069096905702	-3.047826186199591
6	0.0741357509087448	-3.107360289173198
7	0.1402461730237026	-3.167255512832592
8	0.2255240691889331	-3.176729892235552
9	0.3471975580272659	-3.197276607626246
10	0.5135203221696791	-3.280060776271213
11	0.638159575465438	-3.459084054610801
12	0.6956453951144496	-3.635853524151425
13	0.7265892147903186	-3.778787758092983
14	0.7751420689076404	-3.941593277273166
15	0.8072189477764993	-4.138612723192782
16	0.7615867489026537	-4.406038010844157
17	0.5991939739723168	-4.61549021288538
18	0.4066299842891462	-4.697796533768103
19	0.2561280672049464	-4.726390584961049
20	0.1273731210978402	-4.765856799390233
21	-0.02348885791089067	-4.83452922329167
22	-0.2514844417173665	-4.830372516749826
23	-0.4628301576907477	-4.710446282226065
24	-0.5892677952528771	-4.502617438691892
25	-0.6213397271845573	-4.320792911372182
26	-0.6377101473431663	-4.196507142705008
27	-0.66833212894364	-4.071075952004333
28	-0.6738534307251676	-3.89705519413608
29	-0.6251847731340119	-3.713381097087583
30	-0.5198162095876561	-3.596037297577032
31	-0.425678705197982	-3.566533234111081
32	-0.390281774257454	-3.523828824231584
33	-0.3586416193446345	-3.434066744410733
34	-0.2880398583470621	-3.327649608865368
35	-0.1611103512503905	-3.268819075366538
36	-0.04569103418907358	-3.279244393594479
37	0.02731021412594817	-3.282198479261358
38	0.1046560411910852	-3.250813852650446
39	0.2380782144272797	-3.221373624057326
40	0.409999193992645	-3.268157138940304
41	0.5619839147708645	-3.399900197428946
42	0.6446055341766271	-3.549837304328334
43	0.6981122333188086	-3.688586965110109
44	0.7572361815727482	-3.845774251815865
45	0.8071890799403471	-4.046600621037162
46	0.7719064360193054	-4.306745423020448
47	0.6386115676396762	-4.521481014376718
48	0.4581699297899686	-4.631091108443159
49	0.2919160880038884	-4.675899640420963
50	0.1747036097801441	-4.712705646917559
51	0.02209094953009623	-4.79312320897981
52	-0.1930968069750332	-4.794212473481853
53	-0.4071010496394763	-4.690973095848666
54	-0.552201350587788	-4.503662231159574
55	-0.597098505203176	-4.325899221979356
56	-0.5991485568486091	-4.200766725586739
57	-0.6406122916942448	-4.079769555324914
58	-0.662398696267536	-3.916276713347734
59	-0.6203974652890657	-3.747585326536006
60	-0.5270002036796624	-3.624173846259474
