Position_mm	Fx_N	Fy_N
0	0.7937500475887429	-3.448747668534244
1	0.8061658779524097	-3.722471383373056
2	0.7279615553199281	-3.956275161646797
3	0.6267985533147265	-4.111761017920017
4	0.5362710223103414	-4.227583259642457
5	0.4595406037839594	-4.36298369879086
6	0.3288532065431603	-4.532237389863124
7	0.1127412252236063	-4.635035913606854
8	-0.08437400862444443	-4.601932702855404
9	-0.2224989806461439	-4.510149723956289
10	-0.2841594651571837	-4.439161441679866
11	-0.3474688775671256	-4.427661770188385
12	-0.4540728034027651	-4.384016880904454
13	-0.5509966917997635	-4.259878647423889
14	-0.577191647236234	-4.117083946605585
15	-0.5492020172999743	-3.995868929489153
16	-0.5290443069679011	-3.953957362172873
17	-0.5675166585558857	-3.886932295455794
18	-0.5961484222704908	-3.741618418725158
19	-0.5526254768253649	-3.576551538007832
20	-0.4558844853819368	-3.457666025625946
21	-0.3472484421991412	-3.408864235306882
22	-0.2883717470793873	-3.352441301129832
23	-0.2084676686863769	-3.26044554508213
24	-0.06752719139518634	-3.159795888168747
25	0.1324397186143531	-3.134807602245442
26	0.3149234339167393	-3.205983734904094
27	0.4495221558345081	-3.308346717115095
28	0.5700621867078735	-3.402345033871629
29	0.6943512953145237	-3.520201398664147
30	0.8067150317617737	-3.719843210891329
31	0.8431425117989495	-3.998553481725487
32	0.7570634232484553	-4.23192562643348
33	0.6295319310715418	-4.378343420794699
34	0.5089280360797954	-4.47143476963641
35	0.4115662280152463	-4.57609759278073
36	0.2712757245800941	-4.704525767627484
37	0.05751343108090582	-4.754530741574675
38	-0.1540386753312714	-4.687893297128291
39	-0.2870224016191338	-4.554787301362291
40	-0.3492395271575401	-4.443725638026718
41	-0.3883642867429726	-4.386518554185189
42	-0.4778281696080989	-4.315795824053737
43	-0.5548121463933816	-4.189086187000737
44	-0.5735621967002914	-4.042990947437795
45	-0.5351778329499556	-3.926465549051021
46	-0.5079154197672156	-3.872405318277731
47	-0.5238056744643289	-3.811250870780697
48	-0.5421040360393095	-3.687541595035857
49	-0.5178358292175347	-3.535501300077499
50	-0.4130754371694054	-3.412390818562749
51	-0.310023561338771	-3.372267299232629
52	-0.2402737316389161	-3.317427245210453
53	-0.163338225791038	-3.24001304845686
54	-0.03904940014779234	-3.153131370173905
55	0.1501961316073066	-3.129791372468076
56	0.3466640751296866	-3.198172434929218
57	0.4718679420674626	-3.303751709204458
58	0.5800503120813474	-3.404731249323278
59	0.7005158680474598	-3.535329528229411
60	0.8064536602931233	-3.72871895244999
