Position_mm	Fx_N	Fy_N
0	0.09232458115465436	-4.277256649469861
1	-0.04047023773369585	-4.385336073490129
2	-0.2367173744530865	-4.426980763399056
3	-0.4209697207435265	-4.357620069814735
4	-0.5487370113247534	-4.222772742428189
5	-0.6034396732310444	-4.101564274806417
6	-0.6577405264583145	-4.028326174857211
7	-0.751232241294881	-3.923561338002604
8	-0.7970606770634462	-3.724742633242218
9	-0.7643866306128953	-3.498808109225006
10	-0.6355757393143338	-3.319825788213558
11	-0.4830174154199968	-3.234215845376023
12	-0.3531241490301052	-3.169174050294527
13	-0.2117278150011766	-3.09450653974206
14	-0.02185585756023568	-3.063121311603016
15	0.1890515222899578	-3.096969061152947
16	0.3558673843404072	-3.238967679274977
17	0.4331861909030318	-3.38007227164075
18	0.4838341554347715	-3.468679481352564
19	0.5613763736069088	-3.558620334624826
20	0.634547255993736	-3.700403425935667
21	0.6651774984104497	-3.898706285047925
22	0.6003671588950533	-4.057312169881559
23	0.5261887317450057	-4.141158670604113
24	0.4940956193248381	-4.180334882981398
25	0.4999418299097818	-4.263707882201715
26	0.4648870754749884	-4.405243272602283
27	0.3636984852411176	-4.52453329156397
28	0.2466441012764966	-4.567454553814966
29	0.1542649487297854	-4.573950997515875
30	0.08283991444190497	-4.622246309847652
31	-0.02905259274984225	-4.720501013958252
32	-0.2341914274563029	-4.749428684255748
33	-0.4444462136133554	-4.661697871507481
34	-0.600594042259297	-4.497947538688364
35	-0.6766930620551486	-4.340307619333326
36	-0.739562409728411	-4.220811881229011
37	-0.830970124663687	-4.056890474829913
38	-0.8886636196135725	-3.819059475469391
39	-0.8497334586001961	-3.548966663563922
40	-0.7198400529655362	-3.328536676171585
41	-0.5443535618047136	-3.196110751279451
42	-0.3967725206486732	-3.103635001699097
43	-0.2354250810093017	-3.021867247143876
44	-0.03637297051419541	-2.981704786479364
45	0.1865647499293875	-3.016696504181716
46	0.3635893458470674	-3.146356767923115
47	0.4654671770272365	-3.291530242076559
48	0.5292989415580185	-3.401049548878463
49	0.5904616092707247	-3.502807578734204
50	0.6764070723552732	-3.640456033611044
51	0.7055727683874969	-3.84801295147663
52	0.654507071429304	-4.009763355559161
53	0.5793783304337078	-4.109922276098162
54	0.532150988550645	-4.164743559926643
55	0.5291252164847866	-4.252035433481749
56	0.5114060193388617	-4.394456013140539
57	0.4009229329896871	-4.52030752242273
58	0.2708141219828719	-4.573953743171288
59	0.1732426386163338	-4.598762014180474
60	0.09238590554119748	-4.641921283484602
